,"Vivienda a las afueras, compra (USD/m2)","Vivienda en el centro de la ciudad, compra (USD/m2)","Vivienda (3 habitaciones) a las afueras, alquiler (USD)","Vivienda (3 habitaciones) en el centro de la ciudad, alquiler (USD)","Apartamento (1 dormitorio) en las afueras, alquiler (USD)","Apartamento (1 dormitorio) en el centro de la ciudad, alquiler (USD)"
Afganistan,374.75,788.54,153.55,266.75,71.57,132.73
Albania,779.89,1519.38,314.78,526.19,184.17,298.8
Alemania,4087.12,5955.52,1284.52,1634.85,653.94,864.13
Andorra,3269.7,3853.57,980.91,1401.3,572.2,829.1
Angola,3999.96,5999.95,9000.07,9979.32,88.35,171.6
Arabia-saudita,693.29,986.6,506.63,666.62,266.65,373.31
Argelia,613.53,1170.37,204.25,305.21,118.82,180.18
Argentina,1839.03,2530.11,325.06,447.92,175.33,235.48
Armenia,856.96,1630.66,364.06,797.81,204.41,377.63
Australia,4147.11,5693.49,1335.51,1968.12,913.77,1194.93
Austria,4203.9,5838.75,1167.75,1518.07,677.29,864.13
Azerbaiyan,704.24,1349.79,328.64,586.86,176.06,299.3
Bahrein,1882.74,2916.93,1246.32,1776.67,662.94,928.11
Bangladesh,599.8,1093.55,206.22,342.91,77.77,128.44
Belgica,2919.37,3736.8,1109.36,1401.3,700.65,840.78
Bielorrusia,1047.55,1499.27,363.17,550.81,208.04,313.18
Bolivia,782.17,1071.86,506.96,593.87,246.24,347.63
Bosnia-y-herzegovina,1014.73,1492.26,274.58,393.96,155.19,226.82
Botswana,,,,,,
Brasil,870.64,1271.13,313.43,452.73,158.46,226.37
Bulgaria,894.03,1370.84,405.29,548.34,244.37,321.85
Butan,1271.78,1672.9,169.03,214.65,69.76,101.96
Cabo-verde,600.1,900.15,211.3,528.26,135.23,294.77
Camboya,1126.1,2260.0,623.71,993.58,236.24,402.56
Camerun,237.44,1050.33,289.24,519.38,95.58,153.78
Canada,3076.45,4427.09,1350.64,1575.74,825.39,975.46
Catar,2993.65,4421.82,1895.06,2883.79,988.73,1483.09
Chile,2019.52,2413.41,616.96,784.94,361.95,421.31
China,4035.15,7651.84,612.74,1076.04,283.95,508.13
Chipre,1751.62,2218.72,957.55,1167.75,537.16,653.94
Colombia,1045.42,1282.82,395.55,498.08,221.26,290.89
Corea-del-sur,7436.94,14082.49,900.48,1537.29,405.15,571.08
Costa-rica,1398.82,1738.1,598.88,813.63,335.48,487.22
Croacia,2137.79,3014.44,569.05,799.75,369.11,476.77
Cuba,250.0,250.0,135.0,600.0,71.0,178.0
Dinamarca,4020.84,5710.53,1486.3,1971.31,797.91,1110.81
Ecuador,990.0,1500.0,480.0,690.0,280.0,390.0
Egipto,415.02,804.51,242.63,389.48,114.93,197.93
El-salvador,1000.0,1300.0,640.0,730.0,300.0,360.0
Emiratos-arabes-unidos,2123.58,3158.15,1715.2,2395.83,843.99,1279.59
Eslovaquia,1868.4,2452.27,700.65,875.81,443.74,560.52
Eslovenia,2452.27,3386.47,782.39,1062.65,443.74,560.52
Espana,2335.5,3620.02,899.17,1167.75,595.55,782.39
Estados-unidos,2100.0,3100.0,1700.0,2200.0,1100.0,1400.0
Estonia,1985.17,2802.6,642.26,887.49,373.68,525.49
Filipinas,1284.93,2392.49,385.69,711.56,195.94,356.81
Finlandia,3386.47,5955.52,1132.72,1518.07,688.97,887.49
Francia,5371.65,8057.47,1167.75,1634.85,607.23,794.07
Georgia,586.35,1080.12,401.19,617.21,206.77,339.47
Ghana,7636.48,1797.83,565.03,1609.48,145.54,633.52
Grecia,1634.85,1868.4,572.2,677.29,326.97,397.03
Guatemala,1000.48,1577.68,551.55,936.35,333.49,538.72
Haiti,3201.44,4022.77,962.17,1547.7,702.64,1224.87
Honduras,1041.9,1009.35,476.18,638.98,260.48,333.74
Hong-kong,20481.21,32785.41,3095.4,4565.71,1599.29,2321.55
Hungria,1525.38,2259.3,515.88,698.01,309.59,412.26
India,678.76,1333.37,232.07,378.28,105.97,167.68
Indonesia,922.08,1732.4,410.25,665.41,184.92,285.28
Irak,709.33,1435.21,417.56,660.92,246.72,380.76
Iran,1592.64,3020.49,716.4,1193.71,349.46,557.41
Irlanda,3503.25,4904.55,1868.4,2335.5,1167.75,1401.3
Islandia,3136.25,4028.77,1713.45,1985.67,1056.99,1274.63
Israel,5929.2,7690.34,1320.86,1643.74,821.87,1027.34
Italia,2452.27,4087.12,922.52,1284.52,548.84,700.65
Jamaica,3859.31,2628.13,568.19,899.69,251.01,421.54
Japon,5188.47,9028.71,1099.8,1822.18,541.78,807.41
Jordania,775.7,1283.43,409.0,578.25,234.12,324.38
Kazajstan,635.74,928.9,370.08,564.13,189.43,289.23
Kenia,902.65,3400.8,358.85,635.81,143.54,278.8
Kuwait,3174.29,6872.18,1374.44,1799.86,719.94,883.57
Laos,390.01,2750.01,856.63,1125.01,337.39,591.01
Letonia,1284.52,1868.4,548.84,759.04,303.61,420.39
Libano,1613.48,3461.83,794.94,1663.07,403.09,809.15
Liberia,6824.58,,308.2,3599.99,62.29,1533.33
Libia,882.11,2205.26,588.07,1029.12,308.74,514.56
Lituania,1636.66,2810.43,529.02,826.6,347.17,512.49
Luxemburgo,8524.57,11560.72,2685.82,3269.7,1401.3,1751.62
Macedonia,,,,,,
Madagascar,512.56,1025.12,610.92,854.25,88.06,243.47
Malasia,1203.94,2143.01,409.34,626.05,226.34,361.18
Mali,,321.51,1016.67,1500.0,560.04,1000.0
Malta,2569.05,3853.57,1284.52,1751.62,805.75,992.59
Marruecos,833.96,1559.62,324.92,584.86,194.95,335.75
Mauricio,758.25,788.28,515.51,733.23,210.21,347.84
Mauritania,,,228.57,709.52,123.81,267.51
Mexico,792.96,1222.48,462.56,670.24,217.12,344.56
Moldavia,662.49,1067.01,357.63,492.47,211.06,299.0
Monaco,60489.43,87581.22,12845.25,17866.57,3970.35,4203.9
Mongolia,643.4,1145.04,358.2,638.5,226.59,355.57
Montenegro,1284.52,1868.4,467.1,653.94,268.58,362.0
Mozambique,865.82,1418.91,603.62,1144.42,286.79,667.8
Namibia,784.78,889.0,717.33,698.94,275.9,361.73
Nepal,705.15,1288.72,176.08,279.21,91.39,131.64
Nicaragua,532.83,970.61,357.14,480.99,192.97,247.69
Niger,,,420.43,525.45,303.58,373.66
Nigeria,431.53,809.72,1236.52,2153.99,508.54,740.86
Noruega,4351.07,6253.34,1376.79,1765.65,851.3,1103.53
Nueva-zelandia,3731.45,4864.22,1399.29,1799.09,866.23,1066.13
Oman,1742.15,2288.2,650.06,1014.09,377.03,572.05
Paises-bajos,3620.02,4787.77,1518.07,1985.17,1027.62,1284.52
Pakistan,407.6,666.87,180.12,284.2,83.51,132.75
Panama,1600.0,2200.0,890.0,1400.0,480.0,730.0
Papua-nueva-guinea,9037.77,13770.48,1111.9,2366.36,484.68,1368.49
Paraguay,701.36,1217.85,415.09,590.16,195.62,286.09
Peru,1134.01,1687.18,497.86,746.78,251.69,414.88
Polonia,1845.51,2755.62,707.87,935.39,429.78,530.9
Portugal,1985.17,3036.15,899.17,1284.52,537.16,700.65
Puerto-rico,1200.0,1500.0,830.0,1100.0,440.0,610.0
Reino-unido,3883.5,5436.9,1281.56,1682.85,789.65,970.88
Republica-checa,2861.29,4033.18,769.85,1047.86,474.74,603.05
Republica-dominicana,571.23,1033.0,338.63,631.09,196.68,350.6
Ruanda,26358.97,4464.51,587.49,1174.15,234.46,439.69
Rumania,1173.76,1652.85,431.18,598.86,263.5,335.36
Rusia,779.87,1125.08,380.49,553.09,192.76,289.77
Senegal,11689.6,12303.22,712.01,1639.25,249.28,604.3
Serbia,1301.5,2130.54,374.4,592.31,206.02,301.11
Singapur,9662.51,19325.03,2342.43,4026.05,1390.82,2122.83
Siria,688.66,1412.44,217.91,357.21,99.3,203.87
Sri-lanka,1034.21,2665.82,297.35,698.88,136.74,302.77
Sudafrica,769.28,1163.14,713.89,855.43,369.25,443.1
Sudan,350.79,649.14,347.17,598.51,204.33,376.11
Suecia,3809.24,5900.37,1085.13,1492.05,666.9,926.88
Suiza,8279.05,12091.77,2396.57,2941.24,1198.28,1634.02
Tailandia,1856.71,3572.07,626.4,1095.39,273.05,469.0
Taiwan,5451.32,8294.11,723.81,1101.45,325.19,475.55
Tanzania,906.75,1972.04,679.97,773.05,283.23,300.78
Tayikistan,319.05,754.12,270.71,589.76,116.02,212.7
Togo,,,,,,
Tunez,576.57,828.82,234.23,327.92,126.12,183.78
Turkmenistan,1257.14,1828.57,542.86,542.86,240.0,314.29
Turquia,443.28,802.7,203.67,335.46,119.81,191.69
Ucrania,579.76,976.81,337.31,523.54,200.28,298.66
Uganda,356.55,14707.94,283.2,632.66,116.83,160.45
Uruguay,1867.06,2399.17,583.46,725.82,319.73,413.09
Uzbekistan,478.23,945.88,320.23,550.0,166.3,269.05
Venezuela,,,,,,
Vietnam,1150.15,2392.44,589.38,898.13,299.16,419.95
Yemen,752.15,1450.37,243.66,425.8,103.85,183.74
Zambia,27921.57,17008.2,281.44,481.41,121.49,139.5
Zimbabue,1827.8,1538.55,516.95,609.27,233.86,301.56
